group_10297	,,group_10297
group_70721	,,group_70721
group_70720	,,group_70720
group_70723	,,group_70723
group_70722	,,group_70722
group_2039	,,group_2039
group_2038	,,group_2038
group_70727	,,group_70727
group_70726	,,group_70726
group_59781	,,group_59781
group_48790	,,group_48790
group_38701	,,group_38701
group_27014	,,group_27014
group_72765	,,group_72765
group_36398	,,group_36398
group_51873	,,group_51873
group_72764	,,group_72764
hxcR_4	,,hxcR_4
hxcR_5	,,hxcR_5
group_60572	,,group_60572
hxcR_1	PA14_29490,hplR,hxcR_1
hxcR_2	PA14_55440,hxcR,hxcR_2
hxcR_3	,,hxcR_3
group_54288	,,group_54288
group_68818	,,group_68818
group_12239	,,group_12239
group_12238	,,group_12238
group_12237	,,group_12237
group_12236	,,group_12236
group_12235	,,group_12235
group_12234	,,group_12234
group_12233	,,group_12233
group_12232	,,group_12232
group_54282	,,group_54282
group_12230	,,group_12230
group_45105	,,group_45105
group_45104	,,group_45104
group_45107	,,group_45107
group_45103	,,group_45103
group_45102	,,group_45102
ddlB	,,ddlB
group_45108	,,group_45108
pezT	,,pezT
group_65774	,,group_65774
group_5028	,,group_5028
group_5020	,,group_5020
group_5026	PA14_55720,,group_5026
group_12581	,,group_12581
group_12580	,,group_12580
group_12583	,,group_12583
group_12582	,,group_12582
group_12585	,,group_12585
group_12584	,,group_12584
group_12587	,,group_12587
group_12586	,,group_12586
group_12589	,,group_12589
group_12588	,,group_12588
group_52667	,,group_52667
group_42658	,,group_42658
group_1739	,,group_1739
group_71458	,,group_71458
group_55888	,,group_55888
group_44178	,,group_44178
group_55881	,,group_55881
group_55880	,,group_55880
group_71452	,,group_71452
group_55882	,,group_55882
group_55885	,,group_55885
group_55884	,,group_55884
group_71456	,,group_71456
group_71457	,,group_71457
group_39293	,,group_39293
group_52607	,,group_52607
group_65776	,,group_65776
group_74175	,,group_74175
acn	,,acn
acm	,,acm
acp	,,acp
mmoC	,,mmoC
group_19896	,,group_19896
group_44172	,,group_44172
group_74170	,,group_74170
group_44171	,,group_44171
group_74171	,,group_74171
group_4082	,,group_4082
group_4083	,,group_4083
group_4080	,,group_4080
group_44170	,,group_44170
group_4086	,,group_4086
group_4087	,,group_4087
group_4084	,,group_4084
group_4085	,,group_4085
group_68957	,,group_68957
group_4088	,,group_4088
group_4089	,,group_4089
group_68953	,,group_68953
group_68952	,,group_68952
group_44176	,,group_44176
group_19897	,,group_19897
group_44175	,,group_44175
group_13188	PA14_64320,,group_13188
group_29964	,,group_29964
group_58705	,,group_58705
group_58704	,,group_58704
group_13184	PA14_64030,,group_13184
group_13185	PA14_64120,,group_13185
group_13182	PA14_63920,,group_13182
group_58700	,,group_58700
group_58703	,,group_58703
group_58702	,,group_58702
group_63292	,,group_63292
aaeA_5	,,aaeA_5
group_25664	,,group_25664
group_37840	,,group_37840
group_74178	,,group_74178
group_28708	,,group_28708
bolA_2	,,bolA_2
group_37845	,,group_37845
group_30604	,,group_30604
group_60433	,,group_60433
group_73995	,,group_73995
group_65771	,,group_65771
group_37844	,,group_37844
group_41309	,,group_41309
group_41308	,,group_41308
group_37847	,,group_37847
group_34012	,,group_34012
group_41303	,,group_41303
group_41302	,,group_41302
group_41301	,,group_41301
group_37846	,,group_37846
group_41307	,,group_41307
group_25545	,,group_25545
group_41305	,,group_41305
group_41304	,,group_41304
group_28702	,,group_28702
group_44768	,,group_44768
group_44769	,,group_44769
group_44766	,,group_44766
group_44767	,,group_44767
group_44764	,,group_44764
group_44765	,,group_44765
group_65772	,,group_65772
group_44763	,,group_44763
group_44760	,,group_44760
group_44761	,,group_44761
group_28701	,,group_28701
group_3858	,,group_3858
group_3859	,,group_3859
group_40658	,,group_40658
group_40659	,,group_40659
group_3854	,,group_3854
group_3855	,,group_3855
group_3856	,,group_3856
group_3857	,,group_3857
group_3850	,,group_3850
group_3851	,,group_3851
group_3852	,,group_3852
group_3853	,,group_3853
group_69862	,,group_69862
nuoJ_2	,,nuoJ_2
group_39294	,,group_39294
group_65773	,,group_65773
group_40884	,,group_40884
group_66692	,,group_66692
group_55706	,,group_55706
group_46265	,,group_46265
group_40424	,,group_40424
group_34556	,,group_34556
group_52601	,,group_52601
apbE_2	,,apbE_2
group_50568	,,group_50568
group_55707	,,group_55707
group_33160	,,group_33160
group_19890	,,group_19890
group_33161	,,group_33161
group_69574	,,group_69574
group_69575	,,group_69575
group_67324	,,group_67324
group_69573	,,group_69573
group_60816	,,group_60816
group_60817	,,group_60817
group_60814	,,group_60814
group_26624	,,group_26624
group_60812	,,group_60812
group_60813	,,group_60813
group_60810	,,group_60810
group_60811	,,group_60811
group_54688	,,group_54688
group_64306	,,group_64306
group_60818	,,group_60818
group_60819	,,group_60819
group_6909	PA14_41610,crfX,group_6909
group_33168	,,group_33168
group_6905	PA14_41760,,group_6905
group_6904	PA14_41790,,group_6904
group_6907	PA14_41640,menG,group_6907
group_6906	PA14_41690,,group_6906
group_6900	PA14_41910,,group_6900
group_14327	,,group_14327
group_14326	,,group_14326
group_14325	,,group_14325
group_14324	,,group_14324
group_14323	,,group_14323
group_14322	PA14_59920,,group_14322
group_14321	,,group_14321
cpo	PA14_29020,cpo,cpo
group_54701	,,group_54701
group_54700	,,group_54700
group_54703	,,group_54703
group_64307	,,group_64307
group_51553	,,group_51553
group_51552	,,group_51552
group_14329	,,group_14329
group_14328	,,group_14328
group_45682	,,group_45682
group_45683	,,group_45683
group_45680	,,group_45680
group_45681	,,group_45681
group_45686	,,group_45686
group_69578	,,group_69578
group_45684	,,group_45684
group_45685	,,group_45685
group_45688	,,group_45688
group_45689	,,group_45689
group_57241	,,group_57241
group_57240	,,group_57240
group_21163	,,group_21163
group_27870	,,group_27870
group_21165	,,group_21165
group_21164	,,group_21164
group_21167	,,group_21167
group_57246	,,group_57246
group_21169	,,group_21169
group_21168	,,group_21168
group_72099	,,group_72099
group_62787	,,group_62787
group_53951	,,group_53951
group_53950	,,group_53950
group_53953	,,group_53953
group_65931	,,group_65931
group_53955	,,group_53955
group_53954	,,group_53954
group_53957	,,group_53957
group_53956	,,group_53956
group_53959	,,group_53959
group_53958	,,group_53958
group_7777	,,group_7777
group_24252	,,group_24252
group_36700	,,group_36700
group_25886	,,group_25886
group_25887	,,group_25887
group_25884	,,group_25884
group_22534	,,group_22534
group_25882	,,group_25882
group_25883	,,group_25883
group_25880	,,group_25880
group_25881	,,group_25881
group_22533	,,group_22533
walK_1	,,walK_1
group_73087	,,group_73087
group_10758	,,group_10758
group_25888	,,group_25888
group_25889	,,group_25889
group_45974	,,group_45974
group_45975	,,group_45975
group_45976	,,group_45976
group_10759	,,group_10759
group_45970	,,group_45970
group_45971	,,group_45971
group_45972	,,group_45972
group_45973	,,group_45973
smtA	,,smtA
group_58952	,,group_58952
group_45978	,,group_45978
group_45979	,,group_45979
group_15746	,,group_15746
group_10511	,,group_10511
group_15744	,,group_15744
group_15745	,,group_15745
group_15742	,,group_15742
group_15743	,,group_15743
group_15740	,,group_15740
group_15741	,,group_15741
group_10518	,,group_10518
group_22793	,,group_22793
group_43675	,,group_43675
group_15748	,,group_15748
group_15749	,,group_15749
group_33456	,,group_33456
group_19637	,,group_19637
group_19634	,,group_19634
group_19635	,,group_19635
group_19632	,,group_19632
group_19633	,,group_19633
group_1156	PA14_39700,,group_1156
group_19631	,,group_19631
group_19638	,,group_19638
group_19639	,,group_19639
group_59948	,,group_59948
group_59949	,,group_59949
group_72528	,,group_72528
group_28109	,,group_28109
group_59940	,,group_59940
group_55368	,,group_55368
group_59942	,,group_59942
group_59943	,,group_59943
group_59944	,,group_59944
group_59945	,,group_59945
group_69943	,,group_69943
group_55369	,,group_55369
group_55078	,,group_55078
group_55079	,,group_55079
group_30113	,,group_30113
ybdL	PA14_14940,ybdL,ybdL
ybdO	,,ybdO
nusG	PA14_08710,nusG,nusG
group_55070	,,group_55070
group_55071	,,group_55071
group_55072	,,group_55072
group_55073	,,group_55073
group_55074	,,group_55074
group_55075	,,group_55075
ybdG	PA14_19230,ybdG,ybdG
group_55077	,,group_55077
group_6013	,,group_6013
group_11089	,,group_11089
group_6011	,,group_6011
group_6010	,,group_6010
group_6017	,,group_6017
group_6016	,,group_6016
group_6015	,,group_6015
group_6014	,,group_6014
thyA_1	,,thyA_1
rcsC_4	,,rcsC_4
group_6019	,,group_6019
group_6018	,,group_6018
ntcA	,,ntcA
group_50730	,,group_50730
group_1148	PA14_36890,,group_1148
group_50732	,,group_50732
sfaS	,,sfaS
group_25266	,,group_25266
group_50735	,,group_50735
group_50736	,,group_50736
group_50737	,,group_50737
group_61024	,,group_61024
group_50739	,,group_50739
group_61026	,,group_61026
group_25269	,,group_25269
group_61020	,,group_61020
group_61021	,,group_61021
group_61022	,,group_61022
group_20189	,,group_20189
group_69231	,,group_69231
group_69230	,,group_69230
group_69233	,,group_69233
group_69232	,,group_69232
group_69235	,,group_69235
group_25358	,,group_25358
group_69237	,,group_69237
group_69236	,,group_69236
group_69239	,,group_69239
group_69238	,,group_69238
dgoD	,,dgoD
group_61007	,,group_61007
dgoA	,,dgoA
group_52390	,,group_52390
group_52391	,,group_52391
group_52392	,,group_52392
group_52393	,,group_52393
group_52394	,,group_52394
group_52395	,,group_52395
gyrA_2	,,gyrA_2
group_52397	,,group_52397
group_52398	,,group_52398
group_52399	,,group_52399
dgoT	,,dgoT
group_20186	,,group_20186
group_53047	,,group_53047
group_6565	,,group_6565
group_53045	,,group_53045
group_20187	,,group_20187
group_53043	,,group_53043
group_53042	,,group_53042
group_53041	,,group_53041
group_53040	,,group_53040
group_75231	,,group_75231
group_11085	,,group_11085
group_51173	,,group_51173
group_9053	,,group_9053
group_53049	,,group_53049
group_11084	,,group_11084
group_16215	,,group_16215
group_16214	,,group_16214
group_16217	,,group_16217
group_64086	,,group_64086
group_61792	,,group_61792
group_16210	,,group_16210
group_61790	,,group_61790
group_56678	,,group_56678
group_56677	,,group_56677
group_56676	,,group_56676
group_56675	,,group_56675
group_56674	,,group_56674
group_16219	,,group_16219
group_16218	,,group_16218
group_61798	,,group_61798
group_64080	,,group_64080
group_44561	,,group_44561
group_12918	,,group_12918
group_12919	,,group_12919
group_28137	,,group_28137
group_69947	,,group_69947
group_26910	,,group_26910
group_12912	,,group_12912
group_12913	,,group_12913
group_12910	,,group_12910
group_12911	,,group_12911
group_12916	,,group_12916
group_12917	,,group_12917
group_12914	,,group_12914
group_75728	,,group_75728
group_75729	,,group_75729
group_69946	,,group_69946
group_64221	,,group_64221
group_75722	,,group_75722
group_75723	,,group_75723
group_75721	,,group_75721
nucS	,,nucS
group_75724	,,group_75724
group_75725	,,group_75725
nucM	PA14_28570,endA,nucM
group_69498	,,group_69498
nucH	,,nucH
group_70292	,,group_70292
group_69494	,,group_69494
group_69497	,,group_69497
group_69496	,,group_69496
group_69491	,,group_69491
group_69490	,,group_69490
group_69493	,,group_69493
nucA	PA14_47090,,nucA
group_60773	,,group_60773
group_60772	,,group_60772
group_60771	,,group_60771
group_60770	,,group_60770
group_60777	,,group_60777
group_60776	,,group_60776
group_60775	,,group_60775
group_60774	,,group_60774
group_60779	,,group_60779
group_60778	,,group_60778
group_68540	,,group_68540
group_68541	,,group_68541
group_68542	,,group_68542
group_68543	,,group_68543
group_68544	,,group_68544
group_68545	,,group_68545
group_68546	,,group_68546
group_51039	,,group_51039
group_68548	,,group_68548
group_68549	,,group_68549
group_40740	,,group_40740
group_75235	,,group_75235
group_47635	,,group_47635
group_61000	,,group_61000
group_39849	,,group_39849
group_38534	,,group_38534
group_38535	,,group_38535
group_38536	,,group_38536
group_38537	,,group_38537
group_38530	,,group_38530
group_38531	,,group_38531
group_38532	,,group_38532
group_38533	,,group_38533
group_38538	,,group_38538
group_38539	,,group_38539
group_64222	,,group_64222
group_61001	,,group_61001
eutM	,,eutM
eutB	PA14_11770,eutB,eutB
eutC	PA14_11760,eutC,eutC
yfcG_6	,,yfcG_6
group_22283	,,group_22283
eutD	,,eutD
group_64308	,,group_64308
group_57374	,,group_57374
group_22282	,,group_22282
group_58446	,,group_58446
group_69400	,,group_69400
group_35891	,,group_35891
group_25660	,,group_25660
group_27130	,,group_27130
group_28343	,,group_28343
group_27132	,,group_27132
group_27133	,,group_27133
group_27134	,,group_27134
group_27135	,,group_27135
group_27136	,,group_27136
group_27137	,,group_27137
group_27138	,,group_27138
group_27139	,,group_27139
group_28348	,,group_28348
group_22286	,,group_22286
group_64309	,,group_64309
group_55626	,,group_55626
group_22289	,,group_22289
group_21567	,,group_21567
group_49823	,,group_49823
group_64224	,,group_64224
aroQ1_2	PA14_03030,aroQ2,aroQ1_2
group_21990	,,group_21990
group_21991	,,group_21991
group_21992	,,group_21992
yahA	,,yahA
group_21994	,,group_21994
group_21995	,,group_21995
group_21996	,,group_21996
group_21997	,,group_21997
group_21998	,,group_21998
group_21999	,,group_21999
group_57376	,,group_57376
group_43679	,,group_43679
group_69948	,,group_69948
group_64227	,,group_64227
group_72246	,,group_72246
group_12322	,,group_12322
group_57371	,,group_57371
group_20185	,,group_20185
group_72183	,,group_72183
group_72182	,,group_72182
group_39669	,,group_39669
group_72180	,,group_72180
group_72187	,,group_72187
group_72186	,,group_72186
group_72185	,,group_72185
group_72184	,,group_72184
group_39661	,,group_39661
group_39660	,,group_39660
group_39667	,,group_39667
group_65788	,,group_65788
group_52808	,,group_52808
group_20496	,,group_20496
group_66329	,,group_66329
group_20497	,,group_20497
group_52800	,,group_52800
group_52801	,,group_52801
group_52802	,,group_52802
group_52803	,,group_52803
group_52804	,,group_52804
group_20494	,,group_20494
group_52806	,,group_52806
group_52807	,,group_52807
group_1373	,,group_1373
group_1372	,,group_1372
group_1371	PA14_59700,,group_1371
group_1370	,,group_1370
group_50099	,,group_50099
group_1376	,,group_1376
group_1375	,,group_1375
group_32298	,,group_32298
group_32297	,,group_32297
group_32296	,,group_32296
group_1379	,,group_1379
group_32294	,,group_32294
group_32293	,,group_32293
group_32292	,,group_32292
group_32291	,,group_32291
group_32290	,,group_32290
group_56119	,,group_56119
group_61123	,,group_61123
group_51036	,,group_51036
group_64878	,,group_64878
group_64879	,,group_64879
group_61808	,,group_61808
group_61809	,,group_61809
group_33526	,,group_33526
group_33527	,,group_33527
group_64876	,,group_64876
group_20491	,,group_20491
group_61802	,,group_61802
group_64871	,,group_64871
group_33520	,,group_33520
group_64873	,,group_64873
group_42349	,,group_42349
group_36176	,,group_36176
group_75222	,,group_75222
group_75128	,,group_75128
group_65782	,,group_65782
group_12327	,,group_12327
group_18309	,,group_18309
group_18308	,,group_18308
group_57372	,,group_57372
group_18305	,,group_18305
group_18304	,,group_18304
group_18307	,,group_18307
group_18306	,,group_18306
group_18301	,,group_18301
group_18300	,,group_18300
group_18303	,,group_18303
group_18302	,,group_18302
panC	PA14_62590,panC,panC
group_33954	,,group_33954
group_20645	,,group_20645
group_20644	,,group_20644
group_75225	,,group_75225
panE	PA14_57160,apbA,panE
panD	PA14_62600,panD,panD
group_65363	,,group_65363
group_20499	,,group_20499
group_61125	,,group_61125
group_20648	,,group_20648
group_26779	,,group_26779
group_26778	,,group_26778
group_52045	,,group_52045
dap4_1	,,dap4_1
group_6568	,,group_6568
group_26771	,,group_26771
group_26770	,,group_26770
group_26773	,,group_26773
group_26772	,,group_26772
group_26775	,,group_26775
group_26774	,,group_26774
group_26777	,,group_26777
group_75121	,,group_75121
group_43737	,,group_43737
group_20116	,,group_20116
group_63197	,,group_63197
group_32439	,,group_32439
group_32438	,,group_32438
group_23988	,,group_23988
group_32433	,,group_32433
group_32432	,,group_32432
group_32431	,,group_32431
group_32430	,,group_32430
group_32437	,,group_32437
group_32436	,,group_32436
group_32435	,,group_32435
group_32434	,,group_32434
group_20115	,,group_20115
group_76402	PA14_04140,,group_76402
group_76400	,,group_76400
group_63199	,,group_63199
kdgK_2	,,kdgK_2
group_70128	,,group_70128
group_70127	,,group_70127
group_70126	,,group_70126
group_70125	,,group_70125
group_70124	,,group_70124
group_70123	,,group_70123
group_70122	,,group_70122
group_70121	,,group_70121
group_70120	,,group_70120
group_35803	,,group_35803
fadI_3	,,fadI_3
group_35801	,,group_35801
group_35800	,,group_35800
group_39846	,,group_39846
group_35809	,,group_35809
group_74808	,,group_74808
group_74809	,,group_74809
group_74804	,,group_74804
group_23985	,,group_23985
group_74807	,,group_74807
group_74800	,,group_74800
group_74802	,,group_74802
fadI_2	,,fadI_2
group_64033	,,group_64033
group_64548	,,group_64548
group_63076	,,group_63076
group_7190	PA14_53090,,group_7190
group_23986	,,group_23986
group_57379	,,group_57379
group_7192	PA14_53120,,group_7192
group_966	,,group_966
group_967	,,group_967
group_21208	,,group_21208
group_20112	,,group_20112
group_65008	,,group_65008
group_65009	,,group_65009
group_7197	PA14_53290,trxB2,group_7197
group_57990	,,group_57990
group_21200	,,group_21200
group_37523	,,group_37523
group_37520	,,group_37520
group_21203	,,group_21203
group_65006	,,group_65006
group_37527	,,group_37527
group_21206	,,group_21206
group_37525	,,group_37525
group_57233	,,group_57233
group_39076	,,group_39076
vioA	,,vioA
group_17939	,,group_17939
group_17938	,,group_17938
group_39074	,,group_39074
group_17933	,,group_17933
group_17932	,,group_17932
group_48636	,,group_48636
group_17930	,,group_17930
group_17937	,,group_17937
group_17936	,,group_17936
group_17935	,,group_17935
group_17934	,,group_17934
group_57234	,,group_57234
group_21398	,,group_21398
group_31308	,,group_31308
group_21399	,,group_21399
corC_4	,,corC_4
glyQS	,,glyQS
group_15269	PA14_15650,,group_15269
corC_1	PA14_12300,,corC_1
corC_2	PA14_15930,yfjD,corC_2
corC_3	PA14_70770,,corC_3
group_15265	,,group_15265
group_15264	,,group_15264
group_15267	,,group_15267
group_71295	PA14_54760,,group_71295
group_15261	,,group_15261
group_71293	,,group_71293
group_15263	,,group_15263
group_71291	,,group_71291
group_58565	,,group_58565
group_53208	,,group_53208
nagK_2	,,nagK_2
group_74243	,,group_74243
group_71593	,,group_71593
group_41265	,,group_41265
group_71592	,,group_71592
group_43578	,,group_43578
group_21390	,,group_21390
group_69407	,,group_69407
group_62410	,,group_62410
group_21391	,,group_21391
group_32620	,,group_32620
group_65257	,,group_65257
group_58564	,,group_58564
group_65256	,,group_65256
group_64545	,,group_64545
group_64755	,,group_64755
group_65255	,,group_65255
group_58543	,,group_58543
group_30112	,,group_30112
group_74110	,,group_74110
lutR	PA14_47820,,lutR
group_74116	,,group_74116
group_74117	,,group_74117
group_74114	,,group_74114
group_58544	,,group_58544
group_65253	,,group_65253
group_74118	,,group_74118
group_74119	,,group_74119
group_65252	,,group_65252
group_58567	,,group_58567
group_65251	,,group_65251
xdhA_1	,,xdhA_1
group_11082	,,group_11082
group_65250	,,group_65250
iorA_1	PA14_40180,,iorA_1
iorA_2	PA14_33890,aldG,iorA_2
iorA_3	,,iorA_3
group_46880	,,group_46880
group_38989	,,group_38989
group_38988	,,group_38988
group_61648	,,group_61648
group_31274	,,group_31274
group_38984	,,group_38984
group_38987	,,group_38987
group_31277	,,group_31277
group_31270	,,group_31270
group_38980	,,group_38980
group_31272	,,group_31272
group_31273	,,group_31273
group_65918	,,group_65918
group_65919	,,group_65919
group_36721	,,group_36721
group_36720	,,group_36720
group_74246	,,group_74246
group_36726	,,group_36726
group_36725	,,group_36725
group_64547	,,group_64547
group_65910	,,group_65910
group_65911	,,group_65911
group_36729	,,group_36729
group_65913	,,group_65913
group_65914	,,group_65914
group_65915	,,group_65915
group_65916	,,group_65916
group_58095	,,group_58095
group_58094	,,group_58094
group_58097	,,group_58097
group_58096	,,group_58096
group_63130	,,group_63130
group_58090	,,group_58090
group_58093	,,group_58093
group_58092	,,group_58092
group_55142	,,group_55142
group_58561	,,group_58561
group_58098	,,group_58098
group_54095	,,group_54095
group_34382	,,group_34382
group_63970	,,group_63970
mdtC_4	,,mdtC_4
group_40419	,,group_40419
group_34385	,,group_34385
group_54429	,,group_54429
group_40414	,,group_40414
group_40415	,,group_40415
group_34389	,,group_34389
group_40417	,,group_40417
adaA_2	,,adaA_2
adaA_3	,,adaA_3
group_40412	,,group_40412
group_40413	,,group_40413
group_48641	,,group_48641
group_48640	,,group_48640
group_63131	,,group_63131
group_48642	,,group_48642
group_48645	,,group_48645
group_48644	,,group_48644
group_48647	,,group_48647
group_48646	,,group_48646
rocF_1	,,rocF_1
group_48648	,,group_48648
group_58560	,,group_58560
yeiR	PA14_72980,,yeiR
group_42926	,,group_42926
group_42927	,,group_42927
group_42924	,,group_42924
group_42925	,,group_42925
group_42922	,,group_42922
group_42923	,,group_42923
group_42920	,,group_42920
group_42921	,,group_42921
group_73381	,,group_73381
group_12639	,,group_12639
group_42928	,,group_42928
group_42929	,,group_42929
group_54420	,,group_54420
group_12638	,,group_12638
group_54421	,,group_54421
group_58563	,,group_58563
group_75699	,,group_75699
group_54422	,,group_54422
group_73956	,,group_73956
group_31498	,,group_31498
group_8317	PA14_17590,,group_8317
group_54423	,,group_54423
group_8313	,,group_8313
group_8310	,,group_8310
group_8311	,,group_8311
group_31490	,,group_31490
group_54424	,,group_54424
yhaV	,,yhaV
group_31493	,,group_31493
group_31494	,,group_31494
group_31495	,,group_31495
group_8318	,,group_8318
group_31497	,,group_31497
group_35388	,,group_35388
group_35389	,,group_35389
group_1396	,,group_1396
group_53353	,,group_53353
pepN_3	,,pepN_3
group_58562	,,group_58562
yhaK	,,yhaK
group_24409	,,group_24409
group_35382	,,group_35382
group_54427	,,group_54427
group_35384	,,group_35384
group_35385	,,group_35385
group_35386	,,group_35386
tpx	PA14_31810,tpx,tpx
yoaB	,,yoaB
group_23678	,,group_23678
group_62948	,,group_62948
group_20017	,,group_20017
yoaH	,,yoaH
group_61645	,,group_61645
group_72083	,,group_72083
group_63449	,,group_63449
group_37892	,,group_37892
group_37893	,,group_37893
group_37890	,,group_37890
group_37891	,,group_37891
group_37896	,,group_37896
group_37894	,,group_37894
group_37895	,,group_37895
group_24702	,,group_24702
group_37898	,,group_37898
group_37899	,,group_37899
group_24407	,,group_24407
group_63422	,,group_63422
group_63423	,,group_63423
group_63420	,,group_63420
group_40187	,,group_40187
group_63426	,,group_63426
group_59336	,,group_59336
group_63424	,,group_63424
group_63425	,,group_63425
group_54961	,,group_54961
hyfA	,,hyfA
group_63429	,,group_63429
group_70913	,,group_70913
hyfE	,,hyfE
group_60602	,,group_60602
group_67512	,,group_67512
group_35033	,,group_35033
group_67510	,,group_67510
group_67511	,,group_67511
group_67516	,,group_67516
group_67517	,,group_67517
group_35034	,,group_35034
group_35035	,,group_35035
group_29613	,,group_29613
hyfR	,,hyfR
group_35038	,,group_35038
group_67519	,,group_67519
group_63572	,,group_63572
group_40184	,,group_40184
group_64794	,,group_64794
group_67572	,,group_67572
group_66714	,,group_66714
yjiE_3	,,yjiE_3
group_67573	,,group_67573
group_1393	,,group_1393
nifJ	,,nifJ
group_29612	,,group_29612
tmoT	,,tmoT
parC_3	,,parC_3
group_67654	,,group_67654
group_72898	,,group_72898
group_63137	,,group_63137
group_35058	,,group_35058
group_67579	,,group_67579
group_41772	,,group_41772
group_37660	,,group_37660
mtfA	PA14_11700,,mtfA
cobN_2	,,cobN_2
group_64021	,,group_64021
lcfB_1	,,lcfB_1
lcfB_2	,,lcfB_2
group_46979	,,group_46979
group_46978	,,group_46978
lpfA_2	,,lpfA_2
group_41771	,,group_41771
group_61641	,,group_61641
group_46971	,,group_46971
group_46970	,,group_46970
group_46973	,,group_46973
group_46972	,,group_46972
pilQ_3	,,pilQ_3
pilQ_2	,,pilQ_2
pilQ_1	,,pilQ_1
group_46976	,,group_46976
group_73120	,,group_73120
group_40400	,,group_40400
group_43338	,,group_43338
group_43339	,,group_43339
group_43334	,,group_43334
group_43335	,,group_43335
group_43336	,,group_43336
group_43337	,,group_43337
group_43330	,,group_43330
group_16313	,,group_16313
group_43332	,,group_43332
group_43333	,,group_43333
group_55388	,,group_55388
group_27093	,,group_27093
group_43538	,,group_43538
asnS	,,asnS
group_395	,,group_395
group_40996	,,group_40996
group_9548	,,group_9548
group_9549	,,group_9549
group_9544	,,group_9544
group_9545	,,group_9545
group_9546	,,group_9546
group_9547	,,group_9547
group_9540	,,group_9540
group_9541	,,group_9541
group_9542	,,group_9542
group_9543	,,group_9543
group_6251	,,group_6251
group_74111	,,group_74111
group_6253	,,group_6253
group_6252	,,group_6252
group_6255	,,group_6255
group_6254	,,group_6254
group_6257	,,group_6257
group_6256	,,group_6256
group_6259	,,group_6259
group_53812	,,group_53812
group_25060	,,group_25060
group_25061	,,group_25061
group_25062	,,group_25062
group_73334	,,group_73334
group_73333	,,group_73333
group_73332	,,group_73332
group_73331	,,group_73331
group_73330	,,group_73330
group_25068	,,group_25068
group_25069	,,group_25069
group_34811	,,group_34811
group_34817	,,group_34817
group_34816	,,group_34816
gatC_2	,,gatC_2
group_73338	,,group_73338
group_49564	,,group_49564
group_43536	,,group_43536
group_75150	,,group_75150
bin3_2	,,bin3_2
group_49899	,,group_49899
glyQ_2	,,glyQ_2
group_53819	,,group_53819
group_49893	,,group_49893
group_28863	,,group_28863
group_49891	,,group_49891
group_49890	,,group_49890
group_49897	,,group_49897
group_49896	,,group_49896
group_49895	,,group_49895
group_28862	,,group_28862
group_3555	,,group_3555
group_3554	,,group_3554
group_3557	,,group_3557
group_3556	,,group_3556
group_3551	,,group_3551
group_3550	,,group_3550
group_3553	,,group_3553
group_3552	,,group_3552
group_28860	,,group_28860
group_3559	,,group_3559
group_3558	,,group_3558
group_58206	,,group_58206
glyQ_3	,,glyQ_3
group_62941	,,group_62941
group_58969	,,group_58969
group_42897	,,group_42897
group_43609	,,group_43609
leuC_2	,,leuC_2
group_19411	,,group_19411
group_39	,,group_39
group_38	,,group_38
metE_2	,,metE_2
group_35	,,group_35
group_34	,,group_34
group_37	,,group_37
group_36	,,group_36
group_31	,,group_31
group_30	,,group_30
group_33	,,group_33
group_32	,,group_32
group_70910	,,group_70910
group_28869	,,group_28869
group_28868	,,group_28868
group_43606	,,group_43606
group_57880	,,group_57880
group_29183	,,group_29183
group_43803	,,group_43803
group_43800	,,group_43800
group_31798	,,group_31798
group_43806	,,group_43806
group_43807	,,group_43807
group_11959	,,group_11959
group_11958	,,group_11958
group_11957	,,group_11957
group_11956	,,group_11956
group_11955	,,group_11955
group_11954	,,group_11954
group_11953	,,group_11953
group_11952	,,group_11952
group_11951	,,group_11951
group_11950	,,group_11950
group_5786	,,group_5786
group_19518	,,group_19518
group_5784	,,group_5784
group_5785	,,group_5785
group_5782	,,group_5782
group_5783	,,group_5783
group_5780	,,group_5780
group_5781	PA14_15435,,group_5781
group_5788	,,group_5788
group_393	,,group_393
group_445	,,group_445
group_444	,,group_444
group_447	,,group_447
group_446	,,group_446
group_441	,,group_441
group_440	PA14_19720,,group_440
group_443	,,group_443
group_12063	,,group_12063
group_58209	,,group_58209
group_449	,,group_449
group_448	PA14_59650,,group_448
group_29716	,,group_29716
group_6788	PA14_69820,,group_6788
group_59283	,,group_59283
group_6783	PA14_69580,,group_6783
group_6782	PA14_69510,,group_6782
group_39311	,,group_39311
group_6784	PA14_69700,,group_6784
group_5258	,,group_5258
group_5259	PA14_20550,,group_5259
group_2208	,,group_2208
group_12064	,,group_12064
dcd_4	,,dcd_4
group_5250	,,group_5250
group_5251	,,group_5251
group_5252	,,group_5252
group_5253	,,group_5253
group_5254	,,group_5254
group_2207	PA14_38730,yhhS,group_2207
group_5256	PA14_22160,,group_5256
group_2205	,,group_2205
group_69965	,,group_69965
group_57432	,,group_57432
group_69967	,,group_69967
group_69966	,,group_69966
group_69961	,,group_69961
group_69960	,,group_69960
group_69963	,,group_69963
group_69962	,,group_69962
group_43530	,,group_43530
group_24000	,,group_24000
group_24003	,,group_24003
group_24002	,,group_24002
group_24004	PA14_14360,,group_24004
group_24007	,,group_24007
