@Pseudomonas_aeruginosa_PA14|NC_008463|6537649
@Strain	Refseq_Accession	Replicon	Locus_Tag	Feature_Type	Start	Stop	Strand	Gene_Name	Product_Name
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20350	CDS	1751065	1751787	+	phnF	putative_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20360	CDS	1751797	1752255	+	phnG	putative_phosphonate_metabolism_protein_PhnG
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20370	CDS	1752255	1752884	+	phnH	carbon-phosphorus_lyase_complex_subunit
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20380	CDS	1752884	1753984	+	phnI	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20390	CDS	1753981	1754865	+	phnJ	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20400	CDS	1754862	1755677	+	phnK	phosphonate_C-P_lyase_system_protein_PhnK
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20420	CDS	1755728	1756444	+	phnL	phosphonate_ABC_transporter,_ATP-binding_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20430	CDS	1756434	1757597	+	phnM	phosphonate_metabolism_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20440	CDS	1757597	1758154	+	phnN	ATP-binding_component_of_phosphonate_transport
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20450	CDS	1758145	1758915	+	phnP	carbon-phosphorus_lyase_complex_accessory_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20460	CDS	1758954	1759139	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20470	CDS	1759191	1759337	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20480	CDS	1759426	1759704	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20491	CDS	1759897	1760415	-		putatative_acetyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20500	tRNA	1760535	1760608	+		tRNA-Arg
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20510	CDS	1762508	1763482	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20520	CDS	1763497	1766208	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20530	CDS	1766195	1766671	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20550	CDS	1768003	1768341	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA3366.1	ncRNA	1768473	1768572	+	amiE_leader
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20560	CDS	1768608	1769648	+	amiE	acylamide_amidohydrolase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20570	CDS	1769732	1770847	+	amiB	putative_chaperone
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20580	CDS	1770873	1772030	+	amiC	aliphatic_amidase_expression-regulating_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20590	CDS	1772027	1772617	+	amiR	aliphatic_amidase_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20600	CDS	1773139	1773813	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20610	CDS	1773860	1774207	-	lecB	fucose-binding_lectin_PA-IIL
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20620	CDS	1774674	1775732	+		HlyD_family_secretion_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20630	CDS	1775755	1776765	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20640	CDS	1776770	1777648	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20650	CDS	1777705	1779051	-	dsdA	D-serine_dehydratase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20670	CDS	1779377	1780618	+		putative_glutamine_synthetase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20680	CDS	1780802	1782106	+		putative_MFS_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20690	CDS	1782148	1782759	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20700	CDS	1782763	1783554	-		putative_glycosyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20720	CDS	1783583	1784053	-	flgN	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20730	CDS	1784108	1784431	-	flgM	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20740	CDS	1784576	1785274	-	flgA	flagellar_basal_body_P-ring_biosynthesis_protein_FlgA
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20750	CDS	1785406	1786338	+		putative_chemotaxis_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20760	CDS	1786415	1787239	+	cheR	putative_chemotaxis_protein_methyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20770	CDS	1787554	1787859	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20780	CDS	1787861	1789576	+		putative_two-component_response_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20800	CDS	1789642	1789992	+		histidine_phosphotransfer_domain-containing_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20810	CDS	1790076	1792214	+	recQ	ATP-dependent_DNA_helicase_RecQ
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20820	CDS	1792303	1793472	+		putative_two-component_response_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20840	CDS	1793623	1794639	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20850	CDS	1794757	1795191	+	slyA	MarR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20860	CDS	1795468	1797513	+		putative_Tfp_pilus_assembly_protein_FimV
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20870	CDS	1797521	1799707	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20880	CDS	1799776	1800066	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20890	CDS	1800156	1801154	+	rfaD	ADP-L-glycero-D-mannoheptose_6-epimerase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20900	CDS	1801165	1802331	-		putative_MFS_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20920	CDS	1802423	1803175	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20940	CDS	1803293	1803532	-		putative_acyl_carrier_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20950	CDS	1803546	1804538	-	fabH2	3-oxoacyl-(acyl_carrier_protein)_synthase_III
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20960	CDS	1804542	1804967	-		putativ_isomerase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20970	CDS	1804964	1806220	-	cyp23	cytochrome_P450
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_20980	CDS	1806213	1807127	-		putative_short_chain_dehydrogenas
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21000	CDS	1807129	1808457	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21010	CDS	1808454	1809620	-		putative_FAD-dependent_monooxygenase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21020	CDS	1809617	1816675	-		putative_non-ribosomal_peptide_synthetase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21030	CDS	1817157	1817762	+		ATP-dependent_Clp_protease_proteolytic_subunit
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21040	CDS	1818107	1818994	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21050	CDS	1819004	1820782	-		short_chain_dehydrogenase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21060	CDS	1820779	1821654	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21070	CDS	1822080	1822778	+		MerR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21080	CDS	1822786	1823700	-	toxR	LysR_family_transcriptional_activator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21090	CDS	1823789	1824244	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21110	CDS	1824476	1826554	+	plcN	non-hemolytic_phospholipase_C_precursor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21120	CDS	1826612	1827112	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21130	CDS	1827178	1827906	-		putative_outer_membrane_lipoprotein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21140	CDS	1828013	1828783	-		ABC_transporter_permease
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21150	CDS	1828780	1829613	-		ABC_transporter_permease
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21160	CDS	1829607	1830410	-		ABC_transporter_ATP-binding_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21175	CDS	1830407	1831414	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21180	CDS	1831413	1832303	+		putative_3-hydroxyisobutyrate_dehydrogenase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21190	CDS	1832307	1834664	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21210	CDS	1834819	1836474	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21220	CDS	1836543	1836998	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21230	CDS	1837281	1840133	-	hepA	ATP-dependent_helicase_HepA
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21240	CDS	1840369	1840677	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21250	CDS	1840731	1841333	+	alkB	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA3305.1	ncRNA	1841701	1841913	+	phrS	
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21260	CDS	1841740	1841853	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21280	CDS	1842061	1844055	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA3304.1	ncRNA	1844065	1844199	+	P18
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21290	CDS	1844273	1845130	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21300	CDS	1845111	1846286	-		putative_MFS_transporte
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21310	CDS	1846437	1846907	-	phaJ1	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21320	CDS	1846904	1847854	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21340	CDS	1848101	1849789	+	fadD2	long-chain-fatty-acid--CoA_ligase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21370	CDS	1850024	1851712	+	fadD1	long-chain-fatty-acid--CoA_ligase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21380	CDS	1851742	1852044	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21400	CDS	1852220	1856200	+	hrpA	putative_ATP-dependent_helicase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21410	CDS	1856273	1857703	-	phoA	alkaline_phosphatase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21440	CDS	1857908	1858345	+		putative_HIT_family_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21450	CDS	1858574	1860640	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21460	CDS	1860650	1861465	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21470	CDS	1861405	1861983	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21480	CDS	1862506	1863060	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21490	CDS	1863075	1865723	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21510	CDS	1865762	1866175	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21520	CDS	1866255	1866758	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21530	CDS	1866762	1867277	-		ankyrin_domain-containing_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21540	CDS	1867837	1868889	+	fabH-2	3-oxoacyl-(acyl_carrier_protein)_synthase_III
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21550	CDS	1868892	1869503	+		RNA_polymerase_ECF-subfamily_sigma-70_factor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21560	CDS	1869497	1869736	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21570	CDS	1870142	1870456	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21580	CDS	1870475	1871329	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21590	CDS	1871326	1872060	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21600	CDS	1872063	1872653	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21610	CDS	1872900	1874216	+	oprO	pyrophosphate-specific_outer_membrane_porin_OprO_precursor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21620	CDS	1874675	1875997	+	oprP	phosphate-specific_outer_membrane_porin_OprP_precursor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21630	CDS	1876166	1876465	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21640	CDS	1876590	1877402	+		short_chain_dehydrogenase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21650	CDS	1877635	1878057	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21660	CDS	1878054	1878383	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21670	CDS	1878462	1878749	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21680	CDS	1878700	1879299	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21690	CDS	1879368	1883714	+	lhr1	putative_ATP-dependent_DNA_helicase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21700	CDS	1883722	1887201	-		putative_two-component_sensor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21710	CDS	1887467	1888054	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21720	CDS	1888121	1888975	+		AraC_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21730	CDS	1889072	1891237	+	fecA	putative_TonB-dependent_receptor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21750	CDS	1891412	1893286	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21760	CDS	1893347	1893556	-	capB	cold_acclimation_protein_B
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21770	CDS	1893771	1894085	-	sugE	DMT_family_permease
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21780	CDS	1894225	1895160	-		putative_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21790	CDS	1895247	1896167	-	rdgC	recombination_associated_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21800	tRNA	1896332	1896404	+		tRNA-Val
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21810	tRNA	1896424	1896497	+		tRNA-Asp
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21820	CDS	1896757	1897518	+		putative_peptidyl-prolyl_cis-trans_isomerase,_FkbP-type
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21830	CDS	1897888	1898319	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21840	CDS	1898307	1899053	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21850	CDS	1899157	1899468	+		putative_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21860	CDS	1899826	1900305	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21870	CDS	1900319	1902124	-		EAL_domain/GGDEF_domain-containing_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21880	CDS	1902163	1904259	-	tsp	periplasmic_tail-specific_protease
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21890	CDS	1904389	1905351	+	qor	putative_oxidoreductase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21900	CDS	1905418	1905996	-		HAD-superfamily_hydrolase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21910	CDS	1906068	1907063	-		putative_ATP-binding_component_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21920	CDS	1907066	1907863	-		putative_permease_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21930	CDS	1907850	1908689	-		putative_permease_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21940	CDS	1908686	1909495	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21960	CDS	1909550	1910608	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21970	CDS	1910972	1911688	+		transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21980	CDS	1911754	1912305	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_21990	CDS	1912348	1913637	-		putative_aminopeptidase_2
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22000	CDS	1913806	1914441	-	rluA	pseudouridine_synthase_RluA
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22010	CDS	1914545	1914799	-	minE	cell_division_topological_specificity_factor_MinE
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22020	CDS	1914796	1915611	-	minD	cell_division_inhibitor_MinD
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22040	CDS	1915673	1916464	-	minC	septum_formation_inhibitor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22050	CDS	1916624	1917562	+	htrB	lipid_A_biosynthesis_lauroyl_acyltransferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22060	CDS	1917630	1918799	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22075	CDS	1918863	1919495	-		putative_pirin-related_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22080	CDS	1922000	1922695	-		resolvase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22090	CDS	1923032	1924132	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22100	CDS	1926578	1927303	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22110	CDS	1927460	1928419	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22120	CDS	1929042	1931366	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22130	CDS	1931382	1932050	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22140	CDS	1933020	1933820	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22160	CDS	1934355	1934861	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22180	CDS	1934977	1935117	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22190	CDS	1935114	1935500	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22210	CDS	1935570	1935905	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22220	CDS	1935907	1936104	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22230	CDS	1936671	1936868	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22240	CDS	1937290	1937691	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22250	CDS	1937791	1938417	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22260	CDS	1938450	1938800	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22270	CDS	1939714	1941291	-		recombinase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22280	CDS	1941322	1941585	-		putative_pirin-related_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22290	CDS	1941725	1942528	-	vacJ	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22310	CDS	1942532	1943893	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22320	CDS	1944036	1944257	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22330	CDS	1944551	1945408	+		putative_glycine_betaine-binding_protein_precursor
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22340	CDS	1945626	1945937	+	yjcH	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22350	CDS	1945934	1947589	+	actP	acetate_permease
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22370	CDS	1947679	1949478	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22380	CDS	1949475	1950101	+		DNA_polymerase_III_subunit_epsilon
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22400	CDS	1950210	1950368	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22410	CDS	1950645	1951769	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22420	CDS	1951802	1952068	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22440	CDS	1952350	1954182	-	bapA	putative_ATP-binding/permease_fusion_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22450	CDS	1954245	1954808	-	ppiA	peptidyl-prolyl_cis-trans_isomerase_A
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22460	CDS	1954790	1955617	-		alpha/beta_family_hydrolase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22470	CDS	1955624	1956553	-		LysR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22480	CDS	1956753	1957070	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22490	CDS	1957217	1957858	+	acpD	acyl_carrier_protein_phosphodiesterase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22500	CDS	1958113	1958847	-		protein-disulfide_isomerase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22510	CDS	1958941	1959333	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22520	CDS	1959439	1960494	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22530	CDS	1960424	1961041	-		putative_glutathione_S-transferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22540	CDS	1961117	1961671	-	wrbA	putative_flavodoxin
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22550	CDS	1961914	1962726	+		LysR_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22560	CDS	1962803	1963696	-		putative_permease
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22570	CDS	1963706	1964041	-	csaA	CsaA_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22580	CDS	1964106	1964870	-		AraC_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22590	CDS	1965017	1965829	+		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22600	CDS	1965826	1966881	+	grtA	putative_glycosyl_transferase
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22620	CDS	1966871	1968262	-	cyaB	hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22630	CDS	1968479	1968796	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22640	CDS	1968939	1969952	+		AraC_family_transcriptional_regulator
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22650	CDS	1969975	1970619	-		putative_ABC-type_uncharacterized_transport_system
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22660	CDS	1970616	1971554	-		hypothetical_protein
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22670	CDS	1971556	1972350	-	yrbF	putative_ATP-binding_component_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22680	CDS	1972347	1973492	-	yrbE	putative_permease_of_ABC_transporter
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22690	CDS	1973559	1975013	-	trkH	potassium_uptake_protein_TrkH
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22700	CDS	1975171	1975542	+	ykgJ	putative_ferredoxin
Pseudomonas_aeruginosa_PA14	NC_008463	Chromosome	PA14_22710	CDS	1975607	1976167	+	ydjA	hypothetical_protein
